Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01701","Beans, dry","2019","2019","t","1721.05","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01701","Beans, dry","2019","2019","1000 USD","993","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01701","Beans, dry","2020","2020","t","37819.87","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01701","Beans, dry","2020","2020","1000 USD","45127","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01701","Beans, dry","2020","2020","t","53995.14","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01701","Beans, dry","2020","2020","1000 USD","34622","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01701","Beans, dry","2021","2021","t","21544.43","I","Imputed value",""
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01701","Beans, dry","2021","2021","1000 USD","27478","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01701","Beans, dry","2021","2021","t","51292.99","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01701","Beans, dry","2021","2021","1000 USD","33003","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01701","Beans, dry","2022","2022","t","34247.65","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01701","Beans, dry","2022","2022","1000 USD","27806","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01701","Beans, dry","2022","2022","t","57069.1","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01701","Beans, dry","2022","2022","1000 USD","34969","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01701","Beans, dry","2023","2023","t","29648.41","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","01701","Beans, dry","2023","2023","1000 USD","28451","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01701","Beans, dry","2023","2023","t","72342.96","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","01701","Beans, dry","2023","2023","1000 USD","44616","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","F0875","beef and veal preparations nes","2015","2015","t","149.24","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","F0875","beef and veal preparations nes","2015","2015","1000 USD","906","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","F0875","beef and veal preparations nes","2016","2016","t","306.73","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","F0875","beef and veal preparations nes","2016","2016","1000 USD","1411","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","F0875","beef and veal preparations nes","2016","2016","t","4.27","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","F0875","beef and veal preparations nes","2016","2016","1000 USD","2","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","F0875","beef and veal preparations nes","2018","2018","t","409.35","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","F0875","beef and veal preparations nes","2018","2018","1000 USD","1776","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","F0875","beef and veal preparations nes","2020","2020","t","410.73","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","F0875","beef and veal preparations nes","2020","2020","1000 USD","1072","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","F0875","beef and veal preparations nes","2020","2020","t","0.03","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","F0875","beef and veal preparations nes","2020","2020","1000 USD","1","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","F0875","beef and veal preparations nes","2021","2021","t","410.62","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","F0875","beef and veal preparations nes","2021","2021","1000 USD","524","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","F0875","beef and veal preparations nes","2022","2022","t","1.08","X","Figure from international organizations","Estimated data using trading partners database"
